"Mannfjöldi eftir sveitarfélagi, kyni og aldri 1. desember 1997-2014"

"Sveitarfélag";"Aldur";"2004 Alls";"2005 Alls";"2006 Alls";"2007 Alls";"2008 Alls";"2009 Alls";"2010 Alls";"2011 Alls";"2012 Alls";"2013 Alls";"2014 Alls"
"Grímseyjarhreppur";"Alls";92;102;99;103;92;-;-;-;-;-;-
"Svarfaðardalshreppur";"Alls";-;-;-;-;-;-;-;-;-;-;-
"Hríseyjarhreppur";"Alls";-;-;-;-;-;-;-;-;-;-;-
"Árskógshreppur";"Alls";-;-;-;-;-;-;-;-;-;-;-
"Arnarneshreppur";"Alls";183;174;176;171;178;177;-;-;-;-;-
"Skriðuhreppur";"Alls";-;-;-;-;-;-;-;-;-;-;-
"Öxnadalshreppur";"Alls";-;-;-;-;-;-;-;-;-;-;-
"Glæsibæjarhreppur";"Alls";-;-;-;-;-;-;-;-;-;-;-
"Eyjafjarðarsveit";"Alls";993;978;998;1009;1040;1030;1029;1034;1017;1024;1035
"Hörgárbyggð";"Alls";390;399;411;416;415;429;-;-;-;-;-
"Hörgársveit";"Alls";-;-;-;-;-;-;599;583;566;567;568
"Svalbarðsstrandarhreppur";"Alls";365;382;381;385;396;414;398;392;415;395;413
"Grýtubakkahreppur";"Alls";393;366;368;357;338;337;334;351;358;356;368
"Hálshreppur";"Alls";-;-;-;-;-;-;-;-;-;-;-
"Ljósavatnshreppur";"Alls";-;-;-;-;-;-;-;-;-;-;-
"Bárðdælahreppur";"Alls";-;-;-;-;-;-;-;-;-;-;-
"Skútustaðahreppur";"Alls";437;428;410;403;388;374;389;386;380;371;399
"Reykdælahreppur";"Alls";-;-;-;-;-;-;-;-;-;-;-
"Aðaldælahreppur";"Alls";265;256;257;261;-;-;-;-;-;-;-
"Reykjahreppur";"Alls";-;-;-;-;-;-;-;-;-;-;-
"Tjörneshreppur";"Alls";64;63;60;60;58;56;60;55;55;55;59
"Þingeyjarsveit";"Alls";698;686;699;681;945;941;946;912;918;917;921
"Kelduneshreppur";"Alls";103;100;-;-;-;-;-;-;-;-;-
"Öxarfjarðarhreppur";"Alls";331;330;-;-;-;-;-;-;-;-;-
"Raufarhafnarhreppur";"Alls";238;228;-;-;-;-;-;-;-;-;-
"Svalbarðshreppur";"Alls";116;109;106;110;108;107;106;102;102;90;98
"Þórshafnarhreppur";"Alls";411;417;-;-;-;-;-;-;-;-;-
"Langanesbyggð";"Alls";-;-;518;479;511;519;505;513;524;528;514
"Seyðisfjörður";"Alls";714;731;726;716;717;706;669;676;676;671;653
"Neskaupstaður";"Alls";-;-;-;-;-;-;-;-;-;-;-
"Eskifjörður";"Alls";-;-;-;-;-;-;-;-;-;-;-
"Fjarðabyggð";"Alls";3175;3895;5705;5111;4736;4637;4573;4601;4621;4669;4747
"Skeggjastaðahreppur";"Alls";137;125;-;-;-;-;-;-;-;-;-
"Vopnafjarðarhreppur";"Alls";732;725;712;701;674;682;670;675;687;697;675
"Hlíðarhreppur";"Alls";-;-;-;-;-;-;-;-;-;-;-
"Jökuldalshreppur";"Alls";-;-;-;-;-;-;-;-;-;-;-
"Fljótsdalshreppur";"Alls";261;355;524;366;143;89;79;79;80;70;75
"Fellahreppur";"Alls";-;-;-;-;-;-;-;-;-;-;-
"Tunguhreppur";"Alls";-;-;-;-;-;-;-;-;-;-;-
"Hjaltastaðarhreppur";"Alls";-;-;-;-;-;-;-;-;-;-;-
"Borgarfjarðarhreppur";"Alls";137;146;146;146;142;135;140;131;131;135;136
"Norður-Hérað";"Alls";-;-;-;-;-;-;-;-;-;-;-
"Skriðdalshreppur";"Alls";-;-;-;-;-;-;-;-;-;-;-
"Vallahreppur";"Alls";-;-;-;-;-;-;-;-;-;-;-
"Egilsstaðir";"Alls";-;-;-;-;-;-;-;-;-;-;-
"Eiðahreppur";"Alls";-;-;-;-;-;-;-;-;-;-;-
"Mjóafjarðarhreppur";"Alls";38;42;-;-;-;-;-;-;-;-;-
"Reyðarfjarðarhreppur";"Alls";-;-;-;-;-;-;-;-;-;-;-
"Fáskrúðsfjarðarhreppur";"Alls";51;48;-;-;-;-;-;-;-;-;-
"Búðahreppur";"Alls";-;-;-;-;-;-;-;-;-;-;-
"Stöðvarhreppur";"Alls";-;-;-;-;-;-;-;-;-;-;-
"Breiðdalshreppur";"Alls";249;232;244;218;197;209;205;189;180;187;188
"Djúpavogshreppur";"Alls";479;458;463;450;456;439;448;463;453;471;427
"Austur-Hérað";"Alls";-;-;-;-;-;-;-;-;-;-;-
"Austurbyggð";"Alls";873;859;-;-;-;-;-;-;-;-;-
