"Mannfjöldi eftir sveitarfélögum 1901-1990"

"Sveitarfélag";"1901 1. nóvember";"1910 1. desember";"1920 1. desember";"1930 2. desember";"1940 2. desember";"1950 1. desember";"1960 1. desember";"1970 1. desember";"1980 1. desember";"1990 1. desember"
"Norğurland vestra (1919)";8282;8358;9789;9912;10496;10264;10241;9909;10631;10446
"Sauğárkrókur (1947)";.;.;.;.;.;1023;1205;1600;2188;2534
"Siglufjörğur (1919)";.;.;1159;2022;2884;3015;2680;2161;2003;1815
"Stağarhreppur";187;150;148;151;134;105;125;146;135;103
"Fremri-Torfustağahreppur";306;236;256;212;174;138;125;105;88;78
"Ytri-Torfustağahreppur";227;304;292;242;196;180;206;226;258;216
"Hvammstangahreppur (1938)";.;.;.;.;314;305;336;361;591;706
"Kirkjuhvammshreppur (1938)";331;412;474;496;253;208;228;179;160;109
"Şverárhreppur";359;303;331;283;239;159;178;166;141;106
"Şorkelshólshreppur";258;260;296;264;212;182;183;206;198;163
"Áshreppur";232;209;234;233;183;160;159;153;140;111
"Sveinsstağahreppur";230;230;219;178;156;135;129;137;116;106
"Torfalækjarhreppur (1914)";322;404;183;165;132;116;145;158;129;121
"Blönduós (1914, 1936, 1988)";.;.;260;287;436;454;585;690;934;1084
"Svínavatnshreppur";264;260;281;212;179;167;162;157;157;126
"Bólstağarhlíğarhreppur";317;312;325;246;230;199;191;191;171;132
"Engihlíğarhreppur (1936)";246;296;321;241;183;132;129;121;112;87
"Vindhælishreppur (1939)";623;646;653;668;127;91;94;78;72;53
"Höfğahreppur (1939)";.;.;.;.;315;617;593;53.;.;.;.;.;.;.;.;.2;649;658
"Skagahreppur (1939)";.;.;.;.;208;151;122;107;91;64
"Skefilsstağahreppur";216;209;204;174;152;88;101;77;61;48
"Sauğárhreppur (1907)";715;.;.;.;.;.;.;.;.;.
"Skarğshreppur (1907)";.;199;176;145;107;129;119;101;109;115
"Sauğárkrókshreppur (1907, 1947)";.;473;513;780;964;.;.;.;.;.
"Stağarhreppur";211;209;215;203;166;166;145;146;129;117
"Seyluhreppur";280;271;275;265;249;244;265;243;293;305
"Lıtingsstağahreppur";510;448;414;367;356;359;357;328;305;285
"Akrahreppur";432;496;497;415;385;327;357;363;323;271
"Rípurhreppur";161;147;143;127;117;112;131;117;107;94
"Viğvíkurhreppur";218;215;205;178;159;115;94;88;90;95
"Hólahreppur";182;250;283;189;209;168;159;164;168;143
"Hofshreppur (1948, 1990)";638;611;628;573;540;243;241;225;181;423
"Hofsóshreppur (1948, 1990)";.;.;.;.;.;291;309;280;298;.
"Fellshreppur (1990)";170;167;170;127;108;88;68;47;45;.
"Haganeshreppur (1988)";329;325;324;232;193;185;148;123;87;.
"Holtshreppur (1988)";318;316;310;237;236;212;172;133;102;.
"Fljótahreppur (1988)";.;.;.;.;.;.;.;.;.;178
"Norğurland eystra (1919)";11872;12613;13111;15048;16910;18368;19769;22225;25700;26127
"Ólafsfjörğur (1945)";.;.;.;.;.;947;905;1086;1195;1171
"Dalvík (1974)";.;.;.;.;.;.;.;.;1269;1481
"Akureyri (1862, 1909, 1920, 1955)";1347;2084;2575;4198;5564;7188;8835;10755;13420;14174
"Húsavík (1950, 1954)";.;.;.;.;.;1279;1514;1993;2414;2503
"Hvanneyrarhreppur (1919)";420;654;.;.;.;.;.;.;.;.
"Grímseyjarhreppur";83;101;104;125;104;73;70;79;106;121
"Ólafsfjarğarhreppur (1917, 1945)";377;473;524;717;867;.;.;.;.;.
"Svarfağardalshreppur (1946)";993;981;1046;1040;1064;385;394;326;288;270
"Dalvíkurhreppur (1946, 1974)";.;.;.;.;.;803;907;1065;.;.
"Hríseyjarhreppur (1930)";.;.;.;318;337;313;276;291;289;264
"Árskógshreppur (1911, 1930)";.;.;551;312;369;320;324;337;295;368
"Arnarneshreppur (1911, 1916)";1028;914;426;407;414;377;308;256;245;226
"Skriğuhreppur (1910, 1916)";446;274;230;197;175;184;181;150;147;121
"Öxnadalshreppur (1910)";.;112;155;139;103;73;81;88;80;55
"Glæsibæjarhreppur (1955)";761;618;723;772;798;909;278;247;239;237
"Hrafnagilshreppur (1909, 1920)";284;320;259;283;321;284;251;280;302;322
"Saurbæjarhreppur";599;537;567;460;391;343;351;292;276;250
"Öngulsstağahreppur";368;395;416;406;417;405;394;387;394;405
"Svalbarğsstrandarhreppur";261;241;242;233;252;237;237;236;277;323
"Grıtubakkahreppur";575;577;542;516;491;387;362;363;459;419
"Flateyjarhreppur (1907, 1972)";.;114;106;137;141;107;86;5;.;.
"Hálshreppur (1907, 1972)";578;375;368;288;251;242;236;249;232;197
"Ljósavatnshreppur (1907)";572;281;293;295;295;257;282;291;286;248
"Bárğdælahreppur (1907)";.;228;204;175;197;190;178;195;172;153
"Skútustağahreppur";319;276;345;377;353;332;371;478;547;515
"Reykdælahreppur";396;363;382;441;485;360;389;396;374;313
"Ağaldælahreppur";408;400;420;351;417;387;392;396;401;336
"Reykjahreppur (1933, 1954)";.;.;.;.;98;98;92;109;115;110
"Húsavíkurhreppur (1912, 1922, 1950)";663;926;631;874;1007;.;.;.;.;.
"Tjörneshreppur (1912, 1922, 1933)";.;.;316;228;128;98;108;114;110;88
"Kelduneshreppur";247;234;253;226;230;239;243;224;160;122
"Öxarfjarğarhreppur";185;159;195;178;172;134;147;157;143;119
"Fjallahreppur";75;66;81;63;63;31;41;25;29;12
"Presthólahreppur (1945)";285;295;424;547;630;294;300;279;315;248
"Raufarhafnarhreppur (1945)";.;.;.;.;.;346;472;446;493;387
"Svalbarğshreppur";252;226;287;256;243;230;226;161;128;122
