Framlög til sveitarfélaga 2006-2014  ,,
,,
Ár,Sveitarfélag,Framlög á íbúa Alls
2008,Helgafellssveit,45359
2008,Stykkishólmsbær,159043
2008,Eyja- og Miklaholtshreppur,172422
2008,Snæfellsbær,184332
2008,Saurbæjarhreppur,.
2008,Dalabyggð,326806
2008,Bolungarvíkurkaupstaður,176159
2008,Ísafjarðarbær,161857
2008,Reykhólahreppur,292864
2008,Tálknafjarðarhreppur,257189
2008,Vesturbyggð,252176
2008,Súðavíkurhreppur,351583
2008,Árneshreppur,271674
2008,Kaldrananeshreppur,332761
2008,Bæjarhreppur,425402
2008,Broddaneshreppur,.
2008,Hólmavíkurhreppur,.
2008,Strandabyggð,295951
2008,Siglufjarðarkaupstaður,.
2008,Sveitarfélagið Skagafjörður,168513
2008,Húnaþing vestra,306466
2008,Áshreppur,.
2008,Blönduóssbær,169121
2008,Sveitarfélagið Skagaströnd,221903
2008,Skagabyggð,336902
2008,Húnavatnshreppur,378290
2008,Akrahreppur,230398
2008,Akureyrarkaupstaður,65298
2008,Húsavíkurbær (Norðurþing),200472
2008,Fjallabyggð,208887
2008,Ólafsfjarðarbær,.
2008,Dalvíkurbyggð,213551
2008,Grímseyjarhreppur,175394
2008,Arnarneshreppur,190767
2008,Eyjafjarðarsveit,238022
2008,Hörgárbyggð,212988
2008,Hörgársveit,.
2008,Svalbarðsstrandarhreppur,211135
2008,Grýtubakkahreppur,255580
2008,Skútustaðahreppur,233560
2008,Aðaldælahreppur,236865
2008,Tjörneshreppur,178855
2008,Þingeyjarsveit,273849
2008,Kelduneshreppur,.
2008,Öxarfjarðarhreppur,.
2008,Raufarhafnarhreppur,.
2008,Svalbarðshreppur,204809
2008,Þórshafnarhreppur,.
2008,Langanesbyggð,353069
2008,Seyðisfjarðarkaupstaður,163814
2008,Fjarðabyggð,41526
2008,Skeggjastaðahreppur,.
2008,Vopnafjarðarhreppur,214813
2008,Fljótsdalshreppur,6191
2008,Borgarfjarðarhreppur,321992
2008,Mjóafjarðarhreppur,.
2008,Fáskrúðsfjarðarhreppur,.
2008,Breiðdalshreppur,285164
2008,Djúpavogshreppur,197196
2008,Austubyggð,.
2008,Fljótsdalshérað,61547
2008,Sveitarfélagið Hornafjörður,236180
2008,Vestmannaeyjabær,130049
2008,Sveitarfélagið Árborg,58923
2008,Mýrdalshreppur,231021
2008,Skaftárhreppur,241255
2008,Ásahreppur,110146
2008,Rangárþing eystra,174930
2008,Rangárþing ytra,158220
2008,Gaulverjabæjarhreppur,.
2008,Hraungerðishreppur,.
2008,Villingaholtshreppur,.
2008,Hrunamannahreppur,201240
2008,Hveragerðisbær,101624
2008,Sveitarfélagið Ölfus,108574
2008,Grímsnes- og Grafningshreppur,133122
2008,Skeiða- og Gnúpverjahreppur,152000
2008,Bláskógabyggð,125100
2008,Flóahreppur,301335
2009,Reykjavíkurborg,13445
2009,Kópavogsbær,12896
2009,Seltjarnarneskaupstaður,14345
2009,Garðabær,6486
2009,Hafnarfjarðarkaupstaður,24342
2009,Sveitarfélagið Álftanes,70911
2009,Mosfellsbær,27729
2009,Kjósarhreppur,50133
2009,Reykjanesbær,73534
2009,Grindavíkurbær,84946
2009,Sandgerðisbær,74023
2009,Sveitarfélagið Garður,143004
2009,Sveitarfélagið Vogar,134183
2009,Akraneskaupstaður,50716
2009,Hvalfjarðarstrandarhreppur,.
2009,Skilmannahreppur,.
2009,Innri-Akraneshreppur,.
2009,Leirár- og Melahreppur,.
2009,Skorradalshreppur,119015
2009,Borgarfjarðarsveit,.
2009,Hvalfjarðarsveit,117195
2009,Hvítársíðuhreppur,.
2009,Borgarbyggð,144331
2009,Kolbeinsstaðahreppur,.
2009,Grundarfjarðarbær,134971
2009,Helgafellssveit,119461
2009,Stykkishólmsbær,132537
2009,Eyja- og Miklaholtshreppur,155131
2009,Snæfellsbær,161030
2009,Saurbæjarhreppur,.
2009,Dalabyggð,314381
2009,Bolungarvíkurkaupstaður,217955
2009,Ísafjarðarbær,139431
2009,Reykhólahreppur,241304
2009,Tálknafjarðarhreppur,229616
2009,Vesturbyggð,228055
2009,Súðavíkurhreppur,355794
2009,Árneshreppur,169744
2009,Kaldrananeshreppur,241380
2009,Bæjarhreppur,335704
2009,Broddaneshreppur,.
2009,Hólmavíkurhreppur,.
2009,Strandabyggð,252666
2009,Siglufjarðarkaupstaður,.
2009,Sveitarfélagið Skagafjörður,144487
2009,Húnaþing vestra,283102
2009,Áshreppur,.
2009,Blönduóssbær,150303
2009,Sveitarfélagið Skagaströnd,163251
2009,Skagabyggð,355768
2009,Húnavatnshreppur,303449
2009,Akrahreppur,280862
2009,Akureyrarkaupstaður,63340
2009,Húsavíkurbær (Norðurþing),162249
2009,Fjallabyggð,154395
2009,Ólafsfjarðarbær,.
2009,Dalvíkurbyggð,184903
2009,Grímseyjarhreppur,146539
2009,Arnarneshreppur,186020
2009,Eyjafjarðarsveit,229463
2009,Hörgárbyggð,238780
2009,Hörgársveit,.
2009,Svalbarðsstrandarhreppur,178864
2009,Grýtubakkahreppur,225251
2009,Skútustaðahreppur,211452
2009,Aðaldælahreppur,.
2009,Tjörneshreppur,137477
2009,Þingeyjarsveit,282142
2009,Kelduneshreppur,.
2009,Öxarfjarðarhreppur,.
2009,Raufarhafnarhreppur,.
2009,Svalbarðshreppur,195408
2009,Þórshafnarhreppur,.
2009,Langanesbyggð,273777
2009,Seyðisfjarðarkaupstaður,133296
2009,Fjarðabyggð,76931
2009,Skeggjastaðahreppur,.
2009,Vopnafjarðarhreppur,197946
2009,Fljótsdalshreppur,123548
2009,Borgarfjarðarhreppur,241444
2009,Mjóafjarðarhreppur,.
2009,Fáskrúðsfjarðarhreppur,.
2009,Breiðdalshreppur,273412
2009,Djúpavogshreppur,162766
2009,Austubyggð,.
2009,Fljótsdalshérað,145458
2009,Sveitarfélagið Hornafjörður,188283
2009,Vestmannaeyjabær,74391
2009,Sveitarfélagið Árborg,58290
2009,Mýrdalshreppur,209294
2009,Skaftárhreppur,199814
2009,Ásahreppur,130342
2009,Rangárþing eystra,183334
2009,Rangárþing ytra,134870
2009,Gaulverjabæjarhreppur,.
2009,Hraungerðishreppur,.
2009,Villingaholtshreppur,.
2009,Hrunamannahreppur,200384
2009,Hveragerðisbær,90262
2009,Sveitarfélagið Ölfus,91158
2009,Grímsnes- og Grafningshreppur,144986
2009,Skeiða- og Gnúpverjahreppur,151361
2009,Bláskógabyggð,126998
2009,Flóahreppur,297121
2010,Reykjavíkurborg,21376
2010,Kópavogsbær,20044
2010,Seltjarnarneskaupstaður,36254
2010,Garðabær,14088
2010,Hafnarfjarðarkaupstaður,29252
2010,Sveitarfélagið Álftanes,101634
2010,Mosfellsbær,41539
2010,Kjósarhreppur,37826
2010,Reykjanesbær,80517
2010,Grindavíkurbær,87551
2010,Sandgerðisbær,86071
2010,Sveitarfélagið Garður,149142
2010,Sveitarfélagið Vogar,158983
2010,Akraneskaupstaður,58211
2010,Hvalfjarðarstrandarhreppur,.
2010,Skilmannahreppur,.
2010,Innri-Akraneshreppur,.
2010,Leirár- og Melahreppur,.
2010,Skorradalshreppur,140042
2010,Borgarfjarðarsveit,.
2010,Hvalfjarðarsveit,180228
2010,Hvítársíðuhreppur,.
2010,Borgarbyggð,165833
2010,Kolbeinsstaðahreppur,.
2010,Grundarfjarðarbær,123771
2010,Helgafellssveit,139739
2010,Stykkishólmsbær,123786
2010,Eyja- og Miklaholtshreppur,142780
2010,Snæfellsbær,159268
2010,Saurbæjarhreppur,.
2010,Dalabyggð,303427
2010,Bolungarvíkurkaupstaður,111176
2010,Ísafjarðarbær,136277
2010,Reykhólahreppur,209197
2010,Tálknafjarðarhreppur,222647
2010,Vesturbyggð,209456
2010,Súðavíkurhreppur,383703
2010,Árneshreppur,132420
2010,Kaldrananeshreppur,229656
2010,Bæjarhreppur,417859
2010,Broddaneshreppur,.
2010,Hólmavíkurhreppur,.
2010,Strandabyggð,283597
2010,Siglufjarðarkaupstaður,.
2010,Sveitarfélagið Skagafjörður,138585
2010,Húnaþing vestra,301920
2010,Áshreppur,.
2010,Blönduóssbær,155144
2010,Sveitarfélagið Skagaströnd,130730
2010,Skagabyggð,359950
2010,Húnavatnshreppur,291118
2010,Akrahreppur,326154
2010,Akureyrarkaupstaður,66602
2010,Húsavíkurbær (Norðurþing),153095
2010,Fjallabyggð,161434
2010,Ólafsfjarðarbær,.
2010,Dalvíkurbyggð,168998
2010,Grímseyjarhreppur,.
2010,Arnarneshreppur,172765
2010,Eyjafjarðarsveit,243923
2010,Hörgárbyggð,249526
2010,Hörgársveit,.
2010,Svalbarðsstrandarhreppur,161110
2010,Grýtubakkahreppur,225851
2010,Skútustaðahreppur,206537
2010,Aðaldælahreppur,.
2010,Tjörneshreppur,82553
2010,Þingeyjarsveit,277479
2010,Kelduneshreppur,.
2010,Öxarfjarðarhreppur,.
2010,Raufarhafnarhreppur,.
2010,Svalbarðshreppur,260283
2010,Þórshafnarhreppur,.
2010,Langanesbyggð,272525
2010,Seyðisfjarðarkaupstaður,130268
2010,Fjarðabyggð,99205
2010,Skeggjastaðahreppur,.
2010,Vopnafjarðarhreppur,207075
2010,Fljótsdalshreppur,118574
2010,Borgarfjarðarhreppur,270862
2010,Mjóafjarðarhreppur,.
2010,Fáskrúðsfjarðarhreppur,.
2010,Breiðdalshreppur,262159
2010,Djúpavogshreppur,207531
2010,Austubyggð,.
2010,Fljótsdalshérað,161092
2010,Sveitarfélagið Hornafjörður,185842
2010,Vestmannaeyjabær,71952
2010,Sveitarfélagið Árborg,70944
2010,Mýrdalshreppur,210938
2010,Skaftárhreppur,198012
2010,Ásahreppur,123186
2010,Rangárþing eystra,194840
2010,Rangárþing ytra,151633
2010,Gaulverjabæjarhreppur,.
2010,Hraungerðishreppur,.
2010,Villingaholtshreppur,.
2010,Hrunamannahreppur,222814
2010,Hveragerðisbær,111882
2010,Sveitarfélagið Ölfus,91364
2010,Grímsnes- og Grafningshreppur,132303
2010,Skeiða- og Gnúpverjahreppur,135413
2010,Bláskógabyggð,116204
2010,Flóahreppur,441569
2011,Reykjavíkurborg,19219
2011,Kópavogsbær,19648
2011,Seltjarnarneskaupstaður,32113
2011,Garðabær,18594
2011,Hafnarfjarðarkaupstaður,34044
2011,Sveitarfélagið Álftanes,204958
2011,Mosfellsbær,53843
2011,Kjósarhreppur,38083
2011,Reykjanesbær,100623
2011,Grindavíkurbær,97482
2011,Sandgerðisbær,102445
2011,Sveitarfélagið Garður,167190
2011,Sveitarfélagið Vogar,177132
2011,Akraneskaupstaður,64789
2011,Hvalfjarðarstrandarhreppur,.
2011,Skilmannahreppur,.
2011,Innri-Akraneshreppur,.
2011,Leirár- og Melahreppur,.
2011,Skorradalshreppur,.
2011,Borgarfjarðarsveit,.
2011,Hvalfjarðarsveit,102723
2011,Hvítársíðuhreppur,.
2011,Borgarbyggð,176681
2011,Kolbeinsstaðahreppur,.
2011,Grundarfjarðarbær,132875
2011,Helgafellssveit,193109
2011,Stykkishólmsbær,123664
2011,Eyja- og Miklaholtshreppur,164174
2011,Snæfellsbær,146531
2011,Saurbæjarhreppur,.
2011,Dalabyggð,285898
2011,Bolungarvíkurkaupstaður,131799
2011,Ísafjarðarbær,131946
2011,Reykhólahreppur,290556
2011,Tálknafjarðarhreppur,243147
2011,Vesturbyggð,218050
2011,Súðavíkurhreppur,437132
2011,Árneshreppur,228709
2011,Kaldrananeshreppur,246831
2011,Bæjarhreppur,398220
2011,Broddaneshreppur,.
2011,Hólmavíkurhreppur,.
2011,Strandabyggð,297457
2011,Siglufjarðarkaupstaður,.
2011,Sveitarfélagið Skagafjörður,135363
2011,Húnaþing vestra,288698
2011,Áshreppur,.
2011,Blönduóssbær,168962
2011,Sveitarfélagið Skagaströnd,150009
2011,Skagabyggð,401194
2011,Húnavatnshreppur,229845
2011,Akrahreppur,340875
2011,Akureyrarkaupstaður,55977
2011,Húsavíkurbær (Norðurþing),148983
2011,Fjallabyggð,134332
2011,Ólafsfjarðarbær,.
2011,Dalvíkurbyggð,165887
2011,Grímseyjarhreppur,.
2011,Arnarneshreppur,.
2011,Eyjafjarðarsveit,240658
2011,Hörgárbyggð,.
2011,Hörgársveit,256907
2011,Svalbarðsstrandarhreppur,168289
2011,Grýtubakkahreppur,204095
2011,Skútustaðahreppur,178039
2011,Aðaldælahreppur,.
2011,Tjörneshreppur,58856
2011,Þingeyjarsveit,268816
2011,Kelduneshreppur,.
2011,Öxarfjarðarhreppur,.
2011,Raufarhafnarhreppur,.
2011,Svalbarðshreppur,280251
2011,Þórshafnarhreppur,.
2011,Langanesbyggð,254651
2011,Seyðisfjarðarkaupstaður,128261
2011,Fjarðabyggð,74897
2011,Skeggjastaðahreppur,.
2011,Vopnafjarðarhreppur,201176
2011,Fljótsdalshreppur,122030
2011,Borgarfjarðarhreppur,291865
2011,Mjóafjarðarhreppur,.
2011,Fáskrúðsfjarðarhreppur,.
2011,Breiðdalshreppur,231270
2011,Djúpavogshreppur,236407
2011,Austubyggð,.
2011,Fljótsdalshérað,195607
2011,Sveitarfélagið Hornafjörður,172516
2011,Vestmannaeyjabær,70425
2011,Sveitarfélagið Árborg,89672
2011,Mýrdalshreppur,222982
2011,Skaftárhreppur,206357
2011,Ásahreppur,108636
2011,Rangárþing eystra,195135
2011,Rangárþing ytra,150389
2011,Gaulverjabæjarhreppur,.
2011,Hraungerðishreppur,.
2011,Villingaholtshreppur,.
2011,Hrunamannahreppur,228957
